lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
12;Skåne;1287;Trelleborg;T3688;Smygehamn;130;1297
12;Skåne;1287;Trelleborg;T3538;Kurland;40;560
12;Skåne;1287;Trelleborg;T3338;Beddingestrand;385;1308
12;Skåne;1287;Trelleborg;T3752;Trelleborg;1550;29316
12;Skåne;1287;Trelleborg;T3528;Klagstorp;107;548
12;Skåne;1264;Skurup;T3300;Abbekås;143;757
12;Skåne;1287;Trelleborg;T3806;Västra Tommarp;33;286
12;Skåne;1287;Trelleborg;T3676;Skegrie;79;1156
12;Skåne;1233;Vellinge;T3672;Skanör med Falsterbo;579;7077
12;Skåne;1264;Skurup;T3680;Skivarp;166;1258
12;Skåne;1286;Ystad;T3720;Svarte;88;921
12;Skåne;1286;Ystad;T3632;Nybrostrand;129;1061
12;Skåne;1286;Ystad;T3596;Löderup;88;614
12;Skåne;1233;Vellinge;T3496;Höllviken och Ljunghusen;1301;14889
12;Skåne;1287;Trelleborg;T3312;Anderslöv;138;1963
12;Skåne;1286;Ystad;T3448;Hedeskoga;20;273
12;Skåne;1286;Ystad;T3424;Glemmingebro;55;386
12;Skåne;1291;Simrishamn;T2820;Borrby;103;975
12;Skåne;1287;Trelleborg;T3308;Alstad;54;369
12;Skåne;1286;Ystad;T3556;Köpingebro;124;1254
12;Skåne;1286;Ystad;T3138;Rynge och Vallösa;114;210
12;Skåne;1286;Ystad;T3708;Stora Herrestad;67;331
12;Skåne;1291;Simrishamn;T3072;Skillinge;230;975
12;Skåne;1264;Skurup;T3656;Rydsgård;153;1383
12;Skåne;1233;Vellinge;T3780;Vellinge;327;6496
12;Skåne;1233;Vellinge;T3832;Östra Grevie;102;758
12;Skåne;1286;Ystad;T3740;Sövestad;52;373
12;Skåne;1291;Simrishamn;T2908;Hammenhög;128;879
12;Skåne;1233;Vellinge;T3492;Hököpinge;85;1164
12;Skåne;1233;Vellinge;T3800;Västra Ingelstad;93;824
12;Skåne;1233;Vellinge;T3438;Gessie Villastad;54;539
12;Skåne;1264;Skurup;T3684;Skurup;578;8040
12;Skåne;1291;Simrishamn;T2824;Brantevik;87;380
