OBJECTID;AR;LANSKOD;AREA_HA;BEF;KOMMUNKOD;KOMMUNNAMN;TATORTSKOD;TATORT;LAN_NAMN
9613;2015;12;130;1297;1287;Trelleborg;T3688;Smygehamn;Skåne
9614;2015;12;40;560;1287;Trelleborg;T3538;Kurland;Skåne
9615;2015;12;385;1308;1287;Trelleborg;T3338;Beddingestrand;Skåne
9616;2015;12;1550;29316;1287;Trelleborg;T3752;Trelleborg;Skåne
9617;2015;12;107;548;1287;Trelleborg;T3528;Klagstorp;Skåne
9618;2015;12;143;757;1264;Skurup;T3300;Abbekås;Skåne
9619;2015;12;33;286;1287;Trelleborg;T3806;Västra Tommarp;Skåne
9620;2015;12;79;1156;1287;Trelleborg;T3676;Skegrie;Skåne
9621;2015;12;579;7077;1233;Vellinge;T3672;Skanör med Falsterbo;Skåne
9622;2015;12;166;1258;1264;Skurup;T3680;Skivarp;Skåne
9623;2015;12;88;921;1286;Ystad;T3720;Svarte;Skåne
9624;2015;12;129;1061;1286;Ystad;T3632;Nybrostrand;Skåne
9625;2015;12;88;614;1286;Ystad;T3596;Löderup;Skåne
9626;2015;12;1301;14889;1233;Vellinge;T3496;Höllviken och Ljunghusen;Skåne
9627;2015;12;138;1963;1287;Trelleborg;T3312;Anderslöv;Skåne
9628;2015;12;20;273;1286;Ystad;T3448;Hedeskoga;Skåne
9629;2015;12;55;386;1286;Ystad;T3424;Glemmingebro;Skåne
9630;2015;12;103;975;1291;Simrishamn;T2820;Borrby;Skåne
9631;2015;12;54;369;1287;Trelleborg;T3308;Alstad;Skåne
9632;2015;12;124;1254;1286;Ystad;T3556;Köpingebro;Skåne
9633;2015;12;114;210;1286;Ystad;T3138;Rynge och Vallösa;Skåne
9634;2015;12;67;331;1286;Ystad;T3708;Stora Herrestad;Skåne
9635;2015;12;230;975;1291;Simrishamn;T3072;Skillinge;Skåne
9636;2015;12;153;1383;1264;Skurup;T3656;Rydsgård;Skåne
9637;2015;12;327;6496;1233;Vellinge;T3780;Vellinge;Skåne
9638;2015;12;102;758;1233;Vellinge;T3832;Östra Grevie;Skåne
9639;2015;12;52;373;1286;Ystad;T3740;Sövestad;Skåne
9640;2015;12;128;879;1291;Simrishamn;T2908;Hammenhög;Skåne
9641;2015;12;85;1164;1233;Vellinge;T3492;Hököpinge;Skåne
9642;2015;12;93;824;1233;Vellinge;T3800;Västra Ingelstad;Skåne
9643;2015;12;54;539;1233;Vellinge;T3438;Gessie Villastad;Skåne
9644;2015;12;578;8040;1264;Skurup;T3684;Skurup;Skåne
9645;2015;12;87;380;1291;Simrishamn;T2824;Brantevik;Skåne
9646;2015;12;37;212;1233;Vellinge;T3324;Arrie;Skåne
9647;2015;12;753;11796;1263;Svedala;T3724;Svedala;Skåne
9648;2015;12;66;291;1291;Simrishamn;T3232;Östra Tommarp;Skåne
9649;2015;12;182;3420;1280;Malmö;T3756;Tygelsjö;Skåne
9650;2015;12;55;340;1270;Tomelilla;T2996;Lunnarp;Skåne
9651;2015;12;23;225;1280;Malmö;T3682;Skumparp;Skåne
9652;2015;12;110;1094;1291;Simrishamn;T2900;Gärsnäs;Skåne
9653;2015;12;87;361;1270;Tomelilla;T3084;Smedstorp;Skåne
9654;2015;12;478;6779;1291;Simrishamn;T3060;Simrishamn;Skåne
9655;2015;12;553;12665;1280;Malmö;T3640;Oxie;Skåne
9656;2015;12;24;226;1263;Svedala;T3466;Holmeja;Skåne
9657;2015;12;46;777;1280;Malmö;T3788;Vintrie;Skåne
9658;2015;12;637;6826;1270;Tomelilla;T3112;Tomelilla;Skåne
9659;2015;12;476;13048;1280;Malmö;T3372;Bunkeflostrand;Skåne
9660;2015;12;39;202;1270;Tomelilla;T3088;Spjutstorp;Skåne
9661;2015;12;74;234;1291;Simrishamn;T3236;Östra Vemmerlöv;Skåne
9662;2015;12;68;297;1291;Simrishamn;T2812;Baskemölla;Skåne
9663;2015;12;176;3743;1263;Svedala;T3332;Bara;Skåne
9664;2015;12;75;363;1265;Sjöbo;T3738;Sövde;Skåne
9665;2015;12;254;1452;1265;Sjöbo;T3364;Blentarp;Skåne
9666;2015;12;58;524;1270;Tomelilla;T3028;Onslunda;Skåne
